#gene	-GlcN01	-GlcN02	-GlcN03	-GlcN04	-GlcN05	-GlcN06	+GlcN01	+GlcN02	+GlcN03	+GlcN04	+GlcN05	+GlcN06
ENSMUSG00000094445	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015962	1	0	0	1	2	0	0	0	1	0	0	0
ENSMUSG00000031509	0	0	0	0	0	0	0	1	1	0	1	0
ENSMUSG00000029320	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000053783	0	0	0	0	0	0	0	1	1	0	0	0
ENSMUSG00000032300	349	112	164	159	306	200	162	195	312	215	311	409
ENSMUSG00000024729	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000037884	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000086348	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056912	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038408	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033993	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031809	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037910	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058935	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000029620	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000060715	0	0	0	0	1	1	0	2	0	1	0	0
ENSMUSG00000040340	0	1	0	1	0	0	0	2	0	0	0	1
ENSMUSG00000085757	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043629	2	0	2	1	1	0	0	0	1	0	1	0
ENSMUSG00000086202	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068299	128	87	144	100	87	96	82	113	100	64	70	163
ENSMUSG00000085416	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038987	9	3	4	3	1	4	6	1	4	1	3	3
ENSMUSG00000059695	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026931	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036574	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027409	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085438	59	35	30	38	54	48	32	50	51	35	49	65
ENSMUSG00000035085	2	0	1	0	8	1	4	2	4	1	3	2
ENSMUSG00000050844	0	1	1	0	2	0	1	0	0	0	1	2
ENSMUSG00000059690	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019797	298	227	276	245	201	304	202	324	239	193	177	375
ENSMUSG00000027518	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035629	5	2	5	1	5	4	3	5	4	6	6	5
ENSMUSG00000087343	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038165	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028451	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000057072	1	0	1	0	2	1	1	4	0	0	2	4
ENSMUSG00000087393	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029248	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020940	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000045709	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072473	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086186	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000045022	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000078612	413	62	147	74	148	107	176	130	239	62	143	173
ENSMUSG00000078935	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024728	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000032666	184	94	118	131	160	101	121	123	81	116	270	205
ENSMUSG00000011154	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086379	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026809	7	1	3	1	6	0	3	0	1	6	28	0
ENSMUSG00000097321	20	12	24	10	6	7	11	16	45	18	7	26
ENSMUSG00000056821	1	1	0	0	0	0	0	0	1	0	1	1
ENSMUSG00000038782	2	1	4	4	3	3	4	2	3	7	4	3
ENSMUSG00000089798	9	4	8	4	8	6	1	5	3	9	3	7
ENSMUSG00000033053	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086823	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000052075	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031452	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000044916	1	1	2	0	3	0	2	6	3	3	0	2
ENSMUSG00000071103	34	22	30	21	21	11	16	34	29	13	23	22
ENSMUSG00000086788	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098144	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000061633	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000085333	0	0	0	0	0	0	1	0	0	2	0	0
ENSMUSG00000091071	43	15	26	24	9	14	9	19	33	7	6	38
ENSMUSG00000031847	9	4	5	8	13	4	2	9	5	7	17	11
ENSMUSG00000052794	97	59	63	54	88	62	62	76	83	41	122	110
ENSMUSG00000097424	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092239	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000032894	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024532	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097962	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000055833	8	7	14	4	9	6	9	7	11	12	17	23
ENSMUSG00000074619	1	0	1	0	0	1	0	0	0	0	0	0
ENSMUSG00000040163	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029867	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097893	26	18	13	14	24	13	19	23	22	9	19	29
ENSMUSG00000005983	16	5	14	6	15	3	11	9	11	3	14	12
ENSMUSG00000027327	123	86	100	59	113	60	81	110	118	31	144	149
ENSMUSG00000070568	2	0	0	1	1	1	0	0	0	0	1	0
ENSMUSG00000092369	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019945	71	67	80	68	48	56	43	84	29	20	23	77
ENSMUSG00000086999	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057402	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000078593	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087044	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086391	2	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000078492	8	3	3	1	4	2	3	7	1	3	0	15
ENSMUSG00000085561	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094103	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043773	17	20	20	17	25	24	12	30	11	4	9	36
ENSMUSG00000085077	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000070709	84	45	76	44	62	38	64	60	46	45	89	83
ENSMUSG00000043859	0	0	0	0	0	0	0	0	0	0	0	0
