#gene	-GlcN01	-GlcN02	-GlcN03	-GlcN04	-GlcN05	-GlcN06	+GlcN01	+GlcN02	+GlcN03	+GlcN04	+GlcN05	+GlcN06
ENSMUSG00000092738	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093314	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070139	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076063	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072900	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076052	0	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000076140	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076241	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077001	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072837	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076005	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076120	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076372	6	2	1	3	7	9	4	5	10	6	2	8
ENSMUSG00000077042	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076946	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076067	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076049	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076333	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076010	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076357	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077980	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076313	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076272	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076396	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096583	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095036	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094774	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095164	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076014	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076028	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093951	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094547	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096077	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094899	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096602	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095225	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076126	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076118	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080653	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080459	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080594	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080657	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095340	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094297	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089570	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088980	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096134	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093900	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076335	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076387	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076286	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076316	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076376	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000076275	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076398	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093245	2	1	1	1	1	2	1	1	0	1	0	3
ENSMUSG00000076068	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076145	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076117	0	1	0	2	0	0	0	0	0	0	0	1
ENSMUSG00000076253	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076065	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076236	1	0	0	2	0	1	0	0	0	0	0	0
ENSMUSG00000095697	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094933	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076128	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076121	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076009	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000076064	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076218	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076141	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076147	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076216	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076271	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000076119	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065434	2	1	0	0	0	0	0	0	0	1	1	1
ENSMUSG00000065609	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076123	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076163	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076240	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000076060	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076012	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076217	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076051	0	0	0	0	1	1	0	0	1	0	1	0
ENSMUSG00000076143	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076144	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076042	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076142	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096098	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076214	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076127	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076270	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077119	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077092	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077127	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094184	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076460	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076459	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076453	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076456	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076444	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076454	1	0	0	0	1	1	0	0	1	0	0	0
ENSMUSG00000076458	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076455	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076451	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065491	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076457	0	2	1	0	0	0	0	1	0	0	0	0
ENSMUSG00000076450	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096628	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077921	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078057	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077962	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077890	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077851	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077931	0	0	0	0	0	1	0	0	0	0	1	0
ENSMUSG00000077872	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077896	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078002	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078038	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077881	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078017	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078024	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065424	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093238	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076062	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065613	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000076255	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065527	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000065586	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065536	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065530	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065396	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097391	1	0	0	1	0	2	1	0	177	1	1	3
ENSMUSG00000065421	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000092770	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065564	2	0	1	0	0	1	0	0	2	1	1	1
ENSMUSG00000065557	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065608	1	2	0	0	1	0	3	0	0	0	0	4
ENSMUSG00000065453	5	2	1	4	1	2	3	5	1	4	0	2
ENSMUSG00000065602	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065440	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065406	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040599	577	331	297	347	516	508	467	601	539	411	501	883
ENSMUSG00000047534	53	0	14	6	56	6	31	9	23	13	56	26
ENSMUSG00000026088	203	110	113	129	174	126	163	166	181	124	171	273
ENSMUSG00000035158	5	6	4	1	11	4	1	2	1	1	15	3
ENSMUSG00000026497	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000031004	471	67	92	93	570	34	355	56	365	72	556	337
ENSMUSG00000026377	585	392	418	352	477	441	361	615	505	351	448	653
ENSMUSG00000027274	107	95	94	105	93	94	70	114	92	85	62	128
ENSMUSG00000042292	23	11	6	9	41	23	13	13	15	10	38	21
ENSMUSG00000009569	8	9	10	4	8	3	5	10	9	4	10	8
ENSMUSG00000025609	1757	1152	1343	1326	1149	1285	1130	1357	1412	1117	1131	1741
ENSMUSG00000028708	635	368	459	445	582	461	392	445	399	361	847	678
ENSMUSG00000020190	5857	2518	4812	2445	3696	2524	3121	3493	4619	2630	2658	4961
ENSMUSG00000029922	941	403	637	463	906	363	589	534	354	316	1105	816
ENSMUSG00000000439	464	282	408	258	337	325	284	431	296	286	259	526
ENSMUSG00000070527	10	6	21	11	12	7	3	10	3	12	2	9
ENSMUSG00000034121	79	27	40	37	73	24	39	41	22	14	86	68
ENSMUSG00000061013	22	20	18	24	6	11	44	13	2	27	9	27
ENSMUSG00000024806	7	0	0	0	7	0	0	0	0	0	0	0
ENSMUSG00000035805	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048578	2998	1820	1915	1630	2378	1678	2059	2234	3564	1288	2169	2967
ENSMUSG00000048416	1	0	0	0	1	0	0	1	0	1	0	0
ENSMUSG00000031629	54	15	8	8	39	15	14	8	22	8	35	18
ENSMUSG00000030120	88	46	66	48	84	79	49	79	63	59	58	108
ENSMUSG00000032498	407	205	238	157	241	209	269	310	243	142	261	349
ENSMUSG00000021245	323	157	221	176	262	246	192	284	195	143	301	368
ENSMUSG00000012519	351	95	173	119	297	75	294	113	204	93	326	200
ENSMUSG00000024212	501	320	333	327	433	366	327	407	438	262	457	553
ENSMUSG00000026743	12	7	14	2	12	12	3	10	10	7	11	11
ENSMUSG00000053192	67	39	44	48	69	34	47	55	90	35	141	71
ENSMUSG00000028496	52	54	87	39	47	22	74	17	54	29	55	42
ENSMUSG00000068036	1762	1034	1357	1131	1317	1263	1569	1335	1335	1009	1253	1807
ENSMUSG00000038437	1022	450	652	529	853	557	499	656	540	571	1180	893
ENSMUSG00000026303	137	54	142	103	91	60	59	55	44	64	56	105
ENSMUSG00000024142	12	2	3	1	6	4	6	5	3	1	5	3
ENSMUSG00000017801	27	24	22	19	26	19	31	26	31	19	16	31
ENSMUSG00000038342	675	189	281	253	558	270	284	275	238	259	1111	516
ENSMUSG00000005373	4201	5032	3722	4192	4226	6037	3392	6363	4874	4271	1147	7935
ENSMUSG00000074064	1715	1361	1705	1448	1161	1453	1229	1594	1367	1148	716	2085
ENSMUSG00000037022	270	308	277	279	235	256	205	330	279	197	158	449
ENSMUSG00000029575	820	638	840	494	562	530	806	779	814	296	388	934
ENSMUSG00000028690	361	246	316	204	233	307	259	385	216	183	201	443
ENSMUSG00000026766	1277	870	1059	1275	892	1110	687	1006	1400	881	650	1449
ENSMUSG00000003948	1616	2401	2068	4406	1674	2251	1513	2413	1915	1875	1053	3012
ENSMUSG00000039533	174	483	1283	79	238	132	621	156	75	239	85	304
ENSMUSG00000027820	874	1582	1274	1450	811	887	193	1380	2584	634	133	1559
ENSMUSG00000058183	1	0	0	0	0	1	1	0	0	0	0	1
ENSMUSG00000061273	529	370	360	359	464	444	349	538	590	339	458	705
ENSMUSG00000048497	60	23	33	52	59	19	86	21	30	34	80	36
ENSMUSG00000047562	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000000901	39	22	23	18	25	15	14	14	21	13	14	17
ENSMUSG00000049723	339	68	210	80	64	40	32	63	189	86	122	81
ENSMUSG00000050578	88	9	11	10	62	11	8	9	99	9	39	103
ENSMUSG00000000957	1099	618	823	797	1186	680	983	648	737	685	1255	996
ENSMUSG00000031790	1264	416	447	555	849	1031	370	798	778	605	569	1248
ENSMUSG00000028226	1	1	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000029436	33	6	14	16	26	18	22	13	8	17	28	28
ENSMUSG00000025355	74	76	86	90	41	63	93	72	70	37	42	90
ENSMUSG00000043089	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041620	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031740	292	73	184	147	217	50	93	107	72	76	142	120
ENSMUSG00000018620	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030981	0	1	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000029061	93	19	56	43	77	45	38	36	23	38	60	58
ENSMUSG00000027612	10	7	3	2	7	4	7	8	336	5	7	8
ENSMUSG00000023903	13	3	5	1	4	1	15	5	5	1	12	6
ENSMUSG00000070323	122	33	33	52	73	41	78	17	26	36	395	56
ENSMUSG00000020682	0	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000043613	0	3	3	1	3	0	2	0	1	0	1	1
ENSMUSG00000018623	92	4	10	8	35	12	94	40	14	14	36	33
ENSMUSG00000005800	9	0	3	11	16	5	94	3	2	3	130	5
ENSMUSG00000017737	26	20	45	37	336	31	146	18	9	25	3295	48
ENSMUSG00000054641	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000041445	573	303	373	320	453	350	270	375	522	363	385	590
ENSMUSG00000025159	985	471	869	616	724	642	552	713	443	475	832	1098
ENSMUSG00000045751	205	15	42	17	108	24	34	26	76	28	105	82
ENSMUSG00000070576	163	90	140	95	165	218	201	263	95	209	83	386
ENSMUSG00000021103	253	126	178	141	155	131	136	183	114	96	181	234
ENSMUSG00000033752	22	23	24	23	17	31	19	38	21	22	14	44
ENSMUSG00000026536	39	8	6	8	39	6	21	9	10	16	47	22
ENSMUSG00000090272	379	138	191	150	377	111	201	116	141	160	644	299
ENSMUSG00000032221	13	3	1	3	10	2	12	10	8	8	12	5
ENSMUSG00000000282	521	257	346	292	425	237	196	235	284	247	456	340
ENSMUSG00000001566	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096458	0	1	0	0	0	0	0	0	1	0	2	1
ENSMUSG00000043131	726	347	397	428	674	346	378	419	445	369	1148	715
ENSMUSG00000006262	652	476	431	575	531	628	345	761	705	617	484	940
ENSMUSG00000025147	388	264	300	278	304	360	269	340	323	288	311	467
ENSMUSG00000003348	287	100	183	120	245	73	308	107	145	96	551	214
ENSMUSG00000073910	780	340	554	416	539	561	404	584	577	449	346	775
ENSMUSG00000028709	440	290	354	345	383	325	300	375	232	317	458	558
ENSMUSG00000025979	621	370	470	455	450	522	478	638	555	399	481	767
ENSMUSG00000032517	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039616	1235	591	847	581	786	796	1075	941	1518	638	444	1273
ENSMUSG00000064120	65	58	59	42	49	71	39	67	57	49	28	92
ENSMUSG00000015536	446	275	346	430	301	314	291	386	426	347	181	490
ENSMUSG00000074576	99	55	52	54	61	76	75	104	72	39	63	101
ENSMUSG00000076439	0	2	2	0	0	1	0	0	0	0	0	0
ENSMUSG00000012187	6	14	1	9	39	3	0	10	111	3	4	39
ENSMUSG00000052396	10	4	11	6	7	6	54	21	726	1	8	21
ENSMUSG00000030036	934	617	752	670	773	844	647	858	640	555	840	999
ENSMUSG00000032583	251	174	175	204	224	196	240	252	222	165	175	334
ENSMUSG00000078908	25	10	15	9	24	14	13	14	18	10	22	30
ENSMUSG00000034602	12	4	2	11	7	5	6	8	4	10	6	7
ENSMUSG00000022652	0	1	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000034543	91	48	68	49	72	68	58	82	71	59	99	108
ENSMUSG00000048602	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000039456	952	413	596	454	778	809	379	695	703	567	1232	1006
ENSMUSG00000031434	2	0	1	0	1	0	3	1	1	1	0	2
ENSMUSG00000062270	53	22	29	21	17	44	19	43	27	17	39	53
ENSMUSG00000031422	25	7	14	7	12	15	18	15	25	4	20	23
ENSMUSG00000029049	52	41	49	42	42	48	45	56	20	28	31	68
ENSMUSG00000045257	49	46	58	45	44	47	56	52	68	35	25	79
ENSMUSG00000029477	1	0	0	0	0	0	1	0	1	0	0	0
ENSMUSG00000049670	9	9	9	6	8	3	6	4	7	8	5	9
ENSMUSG00000026894	2	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000078365	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000023074	280	134	185	190	189	199	122	248	215	164	178	278
ENSMUSG00000061778	895	428	567	495	725	554	496	597	580	503	880	979
ENSMUSG00000037221	166	118	121	119	127	128	100	129	93	120	103	184
ENSMUSG00000046487	0	1	0	0	1	0	1	0	0	1	0	0
ENSMUSG00000002227	38	9	14	18	20	13	11	17	19	7	11	19
ENSMUSG00000015365	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020000	0	0	0	0	0	2	0	0	2	0	0	4
ENSMUSG00000029885	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018761	1379	788	1141	771	1162	947	833	1132	1283	837	760	1557
ENSMUSG00000028402	767	440	633	427	549	670	487	808	429	442	373	927
ENSMUSG00000046805	10893	2125	3299	2654	12307	2317	6076	2454	3774	2911	20991	7987
ENSMUSG00000020287	267	157	248	146	226	157	188	173	162	118	231	264
ENSMUSG00000030521	377	156	143	189	251	314	247	386	326	268	406	431
ENSMUSG00000031843	123	48	73	27	82	48	69	63	58	31	102	104
ENSMUSG00000079184	480	288	302	254	348	338	343	464	315	254	441	488
ENSMUSG00000038126	189	77	101	94	157	105	101	124	129	109	154	168
ENSMUSG00000032306	235	118	147	112	215	206	207	181	294	145	321	282
ENSMUSG00000006389	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000003199	1674	1006	1538	1263	1183	1449	1485	1443	1129	966	794	1925
ENSMUSG00000009350	12	7	2	27	43	8	413	0	2	5	61	2
ENSMUSG00000031402	1366	546	988	882	1038	882	728	797	1232	745	1463	1373
ENSMUSG00000017314	31	9	12	12	24	14	13	14	15	26	19	21
ENSMUSG00000052373	12	2	2	5	6	2	2	1	6	4	25	5
ENSMUSG00000079550	1	0	0	0	0	1	0	0	1	0	0	3
ENSMUSG00000021112	611	365	498	439	462	467	366	464	511	379	451	613
ENSMUSG00000038388	31	27	20	33	24	33	21	31	17	18	16	37
ENSMUSG00000057440	154	57	114	80	108	68	110	97	160	86	95	158
ENSMUSG00000062526	210	81	113	87	147	116	167	134	87	44	237	188
ENSMUSG00000041708	0	0	0	0	1	0	0	1	0	0	0	2
ENSMUSG00000016386	1	2	2	0	0	0	1	0	1	0	0	0
ENSMUSG00000005417	106	39	84	68	71	72	69	65	64	59	47	88
ENSMUSG00000071711	22	30	37	25	29	27	18	32	26	10	19	44
ENSMUSG00000090262	1039	613	775	675	799	718	623	786	842	636	707	1086
ENSMUSG00000022679	742	546	948	343	548	399	739	988	424	236	251	1015
ENSMUSG00000035559	344	169	273	126	267	269	214	279	219	212	279	387
ENSMUSG00000056569	2	5	1	0	2	3	4	2	8	1	2	1
ENSMUSG00000026566	5	2	2	2	11	1	10	2	10	4	18	4
ENSMUSG00000032092	1055	933	1230	1015	825	809	1020	1324	983	677	588	1467
ENSMUSG00000070305	48	31	51	27	29	25	35	47	49	22	26	51
ENSMUSG00000026471	398	248	249	182	381	196	427	333	129	153	325	424
ENSMUSG00000039956	555	466	402	297	447	367	823	531	505	195	606	668
ENSMUSG00000042761	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032470	73	38	40	67	91	50	77	85	121	46	88	130
ENSMUSG00000026712	3555	1396	1441	1813	3954	1463	2001	1618	1218	1618	8742	3420
ENSMUSG00000020695	230	54	108	93	182	58	57	58	86	49	164	93
ENSMUSG00000031928	187	88	102	87	153	90	84	113	113	79	189	161
ENSMUSG00000039395	296	484	338	409	259	350	301	443	314	299	120	437
ENSMUSG00000055302	3156	1935	2448	2058	2377	2211	2459	2523	2205	1827	2317	3308
ENSMUSG00000050650	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093973	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096719	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000078698	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067173	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000052303	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074111	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070547	0	0	1	1	0	0	71	0	2	0	0	0
ENSMUSG00000050425	1	0	0	0	0	0	34	0	0	0	0	0
ENSMUSG00000070546	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070550	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070551	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050870	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051207	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048965	73	31	58	42	45	49	35	58	27	53	65	108
ENSMUSG00000031070	21	3	9	8	26	9	10	5	3	6	8	4
ENSMUSG00000050276	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059408	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000070552	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074109	0	0	0	0	0	0	46	0	0	0	0	0
ENSMUSG00000004996	500	228	384	254	342	349	283	319	272	243	286	415
ENSMUSG00000018405	93	48	70	60	102	68	55	70	57	62	109	146
ENSMUSG00000064036	0	1	1	0	0	0	0	0	0	0	1	0
ENSMUSG00000021967	322	207	284	239	282	269	258	305	296	207	248	409
ENSMUSG00000029486	181	123	144	128	130	153	117	195	157	103	92	226
ENSMUSG00000001445	980	613	737	685	758	751	668	816	933	549	595	1087
ENSMUSG00000024902	477	361	455	361	366	456	355	429	346	284	345	596
ENSMUSG00000039640	2053	1534	1976	1752	1566	2064	1379	1983	1704	1491	1030	2539
ENSMUSG00000022370	656	483	650	540	576	527	480	655	660	340	439	844
ENSMUSG00000023939	729	640	1017	683	640	833	569	778	692	644	391	1027
ENSMUSG00000033845	356	410	433	376	268	353	313	456	318	319	152	524
ENSMUSG00000024683	703	390	494	366	564	488	476	619	697	370	406	806
ENSMUSG00000030879	1066	655	929	741	788	914	630	917	731	595	776	1169
ENSMUSG00000057388	1020	743	898	713	798	863	638	994	720	744	527	1241
ENSMUSG00000030045	351	191	277	200	264	265	222	318	256	164	241	361
ENSMUSG00000002767	773	552	771	697	670	799	512	838	675	577	483	1009
ENSMUSG00000029066	558	348	453	411	440	521	467	594	526	469	418	804
ENSMUSG00000024829	290	181	239	220	212	256	198	294	253	194	187	358
ENSMUSG00000020514	305	223	287	275	275	309	274	306	269	212	204	419
ENSMUSG00000037772	561	371	482	446	381	327	325	414	344	305	383	540
ENSMUSG00000019710	715	580	692	586	562	603	472	680	688	489	492	880
ENSMUSG00000024414	1034	678	907	684	821	774	677	830	684	559	516	1185
ENSMUSG00000024181	626	518	680	529	567	553	436	617	605	482	496	765
ENSMUSG00000032563	478	368	419	295	420	401	321	527	366	277	533	598
ENSMUSG00000026087	760	504	692	634	598	682	454	850	621	522	430	950
ENSMUSG00000015672	254	216	250	207	196	239	200	285	240	179	169	332
ENSMUSG00000029142	420	265	333	282	379	304	271	338	413	313	334	484
ENSMUSG00000034880	293	237	269	237	323	276	280	364	329	242	225	487
ENSMUSG00000052962	494	352	454	375	392	432	330	458	405	315	281	596
ENSMUSG00000021607	397	253	301	290	354	288	308	346	316	244	294	448
ENSMUSG00000028622	611	467	599	497	483	526	407	657	505	482	365	756
ENSMUSG00000020775	818	673	840	755	673	901	616	939	895	712	463	1151
ENSMUSG00000022889	641	490	655	561	554	623	421	715	588	537	369	921
ENSMUSG00000003299	436	317	353	346	439	418	392	405	411	275	414	558
ENSMUSG00000022706	484	281	358	256	354	313	322	397	379	245	299	507
ENSMUSG00000036850	410	214	313	261	265	274	246	371	324	233	286	448
ENSMUSG00000062981	629	463	587	484	562	491	413	603	576	366	779	768
ENSMUSG00000025208	651	421	498	441	540	582	502	665	548	445	516	844
ENSMUSG00000026248	448	316	401	342	365	349	307	423	339	269	329	532
ENSMUSG00000018882	542	330	451	432	418	389	327	475	466	378	290	717
ENSMUSG00000030612	325	226	269	196	225	239	255	276	250	183	160	340
ENSMUSG00000037531	244	169	198	176	179	231	120	235	164	159	142	293
ENSMUSG00000030706	131	96	115	139	108	107	71	117	100	92	85	143
ENSMUSG00000007338	544	464	474	501	474	578	401	661	494	395	396	777
ENSMUSG00000044018	1159	834	991	863	868	893	760	1073	925	752	615	1383
ENSMUSG00000030335	1188	854	1135	883	888	988	717	1120	960	774	659	1378
ENSMUSG00000010406	608	404	534	432	487	551	419	572	521	436	454	726
ENSMUSG00000030037	380	246	310	302	226	328	249	375	344	245	193	450
ENSMUSG00000034932	325	181	267	204	241	224	220	246	337	165	281	315
ENSMUSG00000036860	288	186	229	174	213	213	192	258	220	187	156	335
ENSMUSG00000028140	993	848	1023	1105	813	1017	537	985	926	805	618	1334
ENSMUSG00000034729	24	8	16	12	17	14	7	17	12	13	11	18
ENSMUSG00000030611	204	150	188	160	205	208	151	181	182	166	152	247
ENSMUSG00000045948	436	310	425	358	389	379	390	433	391	302	311	562
